Id,Country,City,Lat,Lng
678,Australia,Traralgon,-38.1833333,146.5333405
679,Australia,Murray Bridge,-35.1166667,139.2666626
680,Australia,Nerang,-27.9833333,153.3333282
681,Australia,Forster,-32.1666667,152.5166626
682,Australia,Broken Hill,-31.95,141.4333344
683,Australia,Karratha,-20.7291441,116.8547058
684,Australia,South Grafton,-29.7,152.9499969
685,Australia,Cessnock,-32.8333333,151.3500061
686,Australia,Gawler,-34.6,138.7333374
687,Australia,Deception Bay,-27.2,153.0333405
688,Australia,Griffith,-34.2833333,146.0333405
689,Australia,Buderim,-26.6833333,153.0500031
690,Australia,Nambour,-26.6333333,152.9499969
691,Australia,Crafers,-35,138.6999969
692,Australia,Sawtell,-30.3833333,153.1000061
693,Australia,Kingston,-42.9666667,147.3166656
694,Australia,Port Hedland,-20.3166667,118.5666656
695,Australia,Ballina,-28.8666667,153.5666656
696,Australia,Wangaratta,-36.3666667,146.3333282
697,Australia,Port Augusta,-32.5,137.7666626
698,Australia,Singleton,-32.5666667,151.1833344
699,Australia,Cleveland,-27.5333333,153.2666626
700,Australia,Bongaree,-27.0797222,153.1586151
701,Australia,Raymond Terrace,-32.75,151.75
702,Australia,Bacchus Marsh,-37.6833333,144.4499969
703,Australia,Broome,-17.9666667,122.2333298
704,Australia,Moe,-38.1666667,146.2666626
705,Australia,Sale,-38.1,147.0666656
706,Australia,Horsham,-36.7166667,142.1999969
707,Australia,Warwick,-28.2333333,152.0166626
708,Austria,Wien,48.2084878,16.372076
709,Austria,Graz,47.0666667,15.4499998
710,Austria,Linz,48.3063889,14.2861109
711,Austria,Salzburg,47.8,13.0333328
712,Austria,Innsbruck,47.2666667,11.3999996
713,Austria,Klagenfurt,46.6247222,14.3052778
714,Austria,Villach,46.6102778,13.8558331
715,Austria,Wels,48.1666667,14.0333328
716,Austria,Sankt Polten,48.2,15.6333332
717,Austria,Dornbirn,47.4166667,9.7330561
718,Austria,Steyr,48.0427423,14.4212723
719,Austria,Wiener Neustadt,47.8,16.25
720,Austria,Feldkirch,47.2330556,9.6000004
